tth,A-1.5.cps,A-11.5.cps,A-13.5.cps,A-15.5.cps,A-3.5.cps,A-5.5.cps,A-7.5.cps,A-9.5.cps,B-1.5.cps,B-11.5.cps,B-13.5.cps,B-3.5.cps,B-5.5.cps,B-7.5.cps,B-9.5.cps
3.654985309,1.887254937,2.07107847,1.868872584,1.966911801,1.819852975,1.96078435,1.832107877,2.058823568,1.850490231,2.028186312,1.795343171,2.009803959,1.84436278,1.329656888,1.783088269
3.675450478,1.850490231,1.825980426,1.819852975,1.893382388,1.924019644,1.801470622,1.819852975,1.954656899,1.862745133,1.856617682,1.73406866,1.832107877,1.776960818,1.531862774,1.893382388
3.695915647,1.966911801,1.899509839,1.770833366,1.856617682,1.825980426,1.942401997,1.752451013,1.740196111,1.911764742,1.911764742,1.709558855,1.697303953,1.997549057,1.470588263,2.040441215
3.716380816,1.96078435,1.709558855,1.862745133,1.924019644,1.813725524,1.875000035,1.838235328,1.887254937,1.825980426,2.046568666,1.648284345,1.875000035,1.887254937,1.605392187,1.930147095
3.736845985,1.991421606,1.954656899,1.917892193,1.654411796,1.593137285,1.813725524,1.973039253,1.770833366,1.862745133,1.917892193,1.770833366,1.868872584,1.776960818,1.482843165,1.78921572
3.757311154,1.905637291,1.887254937,1.73406866,1.62377454,1.642156893,1.832107877,1.856617682,1.697303953,1.868872584,1.78921572,1.593137285,1.770833366,1.807598073,1.409313752,1.868872584
3.777776323,1.893382388,1.832107877,1.73406866,1.924019644,1.672794149,1.709558855,1.758578464,1.709558855,1.6789216,1.838235328,1.985294155,1.752451013,1.691176502,1.39705885,1.697303953
3.798241492,1.752451013,1.78921572,1.783088269,1.666666698,1.593137285,1.599264736,1.531862774,1.770833366,1.948529448,1.899509839,1.611519638,1.654411796,1.73406866,1.593137285,1.770833366
3.818706661,1.727941209,1.770833366,1.574754931,1.587009834,1.642156893,1.78921572,1.807598073,1.84436278,1.62377454,1.887254937,1.73406866,1.813725524,1.6789216,1.237745121,1.862745133
3.839171831,1.666666698,1.746323562,1.62377454,1.746323562,1.464460812,1.697303953,1.727941209,1.78921572,1.770833366,1.84436278,1.819852975,1.519607872,1.746323562,1.39705885,1.587009834
3.859637,1.752451013,1.838235328,1.672794149,1.740196111,1.599264736,1.685049051,1.801470622,1.709558855,1.838235328,1.96078435,1.660539247,1.776960818,1.56862748,1.464460812,1.84436278
3.880102169,1.587009834,1.825980426,1.56862748,1.697303953,1.501225518,1.832107877,1.697303953,1.746323562,1.642156893,1.599264736,1.819852975,1.611519638,1.525735323,1.207107866,1.73406866
3.900567338,1.727941209,1.636029442,1.6789216,1.776960818,1.636029442,1.446078458,1.825980426,1.617647089,1.764705915,1.709558855,1.56862748,1.593137285,1.666666698,1.433823556,1.776960818
3.921032507,1.703431404,1.752451013,1.599264736,1.611519638,1.672794149,1.715686307,1.838235328,1.525735323,1.427696105,1.850490231,1.544117676,1.562500029,1.433823556,1.519607872,1.721813758
3.941497676,1.605392187,1.685049051,1.476715714,1.629901991,1.427696105,1.574754931,1.519607872,1.617647089,1.660539247,1.685049051,1.45220591,1.56862748,1.617647089,1.458333361,1.758578464
3.961962845,1.715686307,1.531862774,1.629901991,1.648284345,1.697303953,1.611519638,1.727941209,1.709558855,1.446078458,1.709558855,1.329656888,1.636029442,1.507352969,1.28676473,1.703431404
3.982428014,1.697303953,1.78921572,1.666666698,1.446078458,1.605392187,1.587009834,1.488970616,1.740196111,1.654411796,1.507352969,1.464460812,1.642156893,1.574754931,1.243872572,1.825980426
4.002893183,1.482843165,1.73406866,1.605392187,1.648284345,1.556372578,1.525735323,1.525735323,1.525735323,1.672794149,1.795343171,1.666666698,1.501225518,1.501225518,1.292892181,1.746323562
4.023358352,1.550245127,1.605392187,1.488970616,1.550245127,1.580882383,1.519607872,1.672794149,1.587009834,1.519607872,1.501225518,1.556372578,1.470588263,1.611519638,1.34191179,1.721813758
4.043823522,1.62377454,1.587009834,1.593137285,1.574754931,1.78921572,1.464460812,1.488970616,1.587009834,1.605392187,1.56862748,1.531862774,1.482843165,1.409313752,1.237745121,1.746323562
4.064288691,1.45220591,1.611519638,1.507352969,1.56862748,1.439951007,1.378676496,1.366421594,1.587009834,1.574754931,1.629901991,1.427696105,1.654411796,1.544117676,1.335784339,1.525735323
4.08475386,1.433823556,1.550245127,1.476715714,1.476715714,1.519607872,1.550245127,1.390931399,1.62377454,1.360294143,1.574754931,1.476715714,1.458333361,1.464460812,1.268382377,1.550245127
4.105219029,1.51348042,1.727941209,1.433823556,1.427696105,1.305147083,1.470588263,1.599264736,1.550245127,1.599264736,1.727941209,1.243872572,1.636029442,1.354166692,1.145833355,1.537990225
4.125684198,1.51348042,1.574754931,1.415441203,1.56862748,1.482843165,1.446078458,1.409313752,1.580882383,1.654411796,1.746323562,1.409313752,1.458333361,1.409313752,1.237745121,1.501225518
4.146149367,1.685049051,1.62377454,1.433823556,1.427696105,1.323529437,1.390931399,1.476715714,1.519607872,1.709558855,1.544117676,1.34191179,1.415441203,1.378676496,1.170343159,1.580882383
4.166614536,1.488970616,1.495098067,1.562500029,1.39705885,1.458333361,1.409313752,1.519607872,1.580882383,1.366421594,1.709558855,1.384803947,1.372549045,1.360294143,1.151960806,1.556372578
4.187079705,1.587009834,1.593137285,1.372549045,1.439951007,1.421568654,1.305147083,1.617647089,1.56862748,1.544117676,1.531862774,1.446078458,1.360294143,1.305147083,1.060049039,1.464460812
4.207544874,1.562500029,1.495098067,1.464460812,1.433823556,1.299019632,1.580882383,1.446078458,1.488970616,1.488970616,1.458333361,1.329656888,1.348039241,1.360294143,1.243872572,1.427696105
4.228010044,1.593137285,1.519607872,1.390931399,1.525735323,1.323529437,1.617647089,1.360294143,1.39705885,1.354166692,1.482843165,1.274509828,1.390931399,1.34191179,1.23161767,1.427696105
4.248475213,1.45220591,1.51348042,1.299019632,1.525735323,1.446078458,1.409313752,1.446078458,1.274509828,1.593137285,1.550245127,1.329656888,1.323529437,1.409313752,1.372549045,1.654411796
4.268940382,1.51348042,1.458333361,1.292892181,1.219362768,1.170343159,1.470588263,1.274509828,1.188725512,1.384803947,1.703431404,1.378676496,1.335784339,1.182598061,1.164215708,1.378676496
4.289405551,1.311274534,1.556372578,1.317401985,1.464460812,1.299019632,1.28676473,1.403186301,1.439951007,1.482843165,1.464460812,1.299019632,1.51348042,1.274509828,1.28676473,1.28676473
4.30987072,1.305147083,1.421568654,1.256127474,1.39705885,1.427696105,1.219362768,1.605392187,1.335784339,1.629901991,1.470588263,1.237745121,1.335784339,1.458333361,1.158088257,1.464460812
4.330335889,1.45220591,1.348039241,1.262254926,1.207107866,1.329656888,1.427696105,1.262254926,1.433823556,1.237745121,1.384803947,1.280637279,1.256127474,1.256127474,1.060049039,1.531862774
4.350801058,1.28676473,1.525735323,1.378676496,1.28676473,1.482843165,1.102941197,1.366421594,1.360294143,1.256127474,1.299019632,1.335784339,1.28676473,1.378676496,1.066176491,1.188725512
4.371266227,1.372549045,1.372549045,1.354166692,1.390931399,1.182598061,1.139705904,1.292892181,1.39705885,1.360294143,1.28676473,1.305147083,1.384803947,1.158088257,1.12132355,1.28676473
4.391731396,1.415441203,1.482843165,1.133578453,1.348039241,1.292892181,1.323529437,1.384803947,1.390931399,1.335784339,1.378676496,1.200980415,1.464460812,1.335784339,0.931372566,1.329656888
4.412196565,1.427696105,1.305147083,1.268382377,1.262254926,1.182598061,1.317401985,1.360294143,1.372549045,1.323529437,1.243872572,1.329656888,1.066176491,1.200980415,1.017156882,1.464460812
4.432661735,1.23161767,1.378676496,1.268382377,1.250000023,1.213235317,1.360294143,1.170343159,1.329656888,1.292892181,1.427696105,1.256127474,1.384803947,1.164215708,1.151960806,1.403186301
4.453126904,1.243872572,1.384803947,1.305147083,1.274509828,1.335784339,1.207107866,1.372549045,1.262254926,1.329656888,1.519607872,1.354166692,1.194852964,1.317401985,1.145833355,1.299019632
4.473592073,1.354166692,1.323529437,1.158088257,1.292892181,1.035539235,1.23161767,1.329656888,1.305147083,1.28676473,1.366421594,1.292892181,1.292892181,1.145833355,1.207107866,1.274509828
4.494057242,1.280637279,1.317401985,1.151960806,1.243872572,1.17647061,1.299019632,1.262254926,1.225490219,1.262254926,1.354166692,1.194852964,1.537990225,1.268382377,1.011029431,1.464460812
4.514522411,1.268382377,1.28676473,1.096813746,1.262254926,1.127451001,1.219362768,1.299019632,1.390931399,1.23161767,1.372549045,1.256127474,1.170343159,1.225490219,1.078431393,1.335784339
4.53498758,1.225490219,1.433823556,1.145833355,1.213235317,1.360294143,1.200980415,1.409313752,1.158088257,1.164215708,1.415441203,0.986519626,1.378676496,1.170343159,1.109068648,1.250000023
4.555452749,1.262254926,1.366421594,1.274509828,1.17647061,1.256127474,1.207107866,1.170343159,1.329656888,1.256127474,1.317401985,1.158088257,1.182598061,1.127451001,1.041666686,1.34191179
4.575917918,1.366421594,1.188725512,1.12132355,1.243872572,1.188725512,1.250000023,1.23161767,1.096813746,1.323529437,1.280637279,1.28676473,1.250000023,1.060049039,1.127451001,1.23161767
4.596383087,1.28676473,1.17647061,1.115196099,1.151960806,1.084558844,1.12132355,1.213235317,1.139705904,1.170343159,1.274509828,1.115196099,1.299019632,1.237745121,0.925245115,1.225490219
4.616848256,1.237745121,1.348039241,1.207107866,1.225490219,1.115196099,1.207107866,1.329656888,1.133578453,1.23161767,1.237745121,1.213235317,1.115196099,1.17647061,0.912990213,1.102941197
4.637313426,1.219362768,1.366421594,1.096813746,1.219362768,1.096813746,1.250000023,1.354166692,1.096813746,1.280637279,1.292892181,0.992647077,1.139705904,1.102941197,1.164215708,1.182598061
4.657778595,1.213235317,1.256127474,1.213235317,1.133578453,1.225490219,1.188725512,1.194852964,1.213235317,1.194852964,1.213235317,1.127451001,1.292892181,1.317401985,1.017156882,1.237745121
4.678243764,1.305147083,1.34191179,1.243872572,1.348039241,1.158088257,1.102941197,1.213235317,1.207107866,1.243872572,1.256127474,1.23161767,1.207107866,1.237745121,1.096813746,1.139705904
4.698708933,1.323529437,1.182598061,0.931372566,1.115196099,1.023284333,1.078431393,1.250000023,1.200980415,1.139705904,1.250000023,1.188725512,1.28676473,1.151960806,1.029411784,1.28676473
4.719174102,1.262254926,1.280637279,1.047794137,1.200980415,1.139705904,1.078431393,1.280637279,1.115196099,1.305147083,1.335784339,1.047794137,1.072303942,1.090686295,1.060049039,1.188725512
4.739639271,1.207107866,1.164215708,0.992647077,0.962009822,1.011029431,1.047794137,1.23161767,1.243872572,1.145833355,1.164215708,1.090686295,1.023284333,1.139705904,1.023284333,1.066176491
4.76010444,1.090686295,1.256127474,1.011029431,1.207107866,1.072303942,0.962009822,1.066176491,1.182598061,1.151960806,1.219362768,0.937500018,1.23161767,1.200980415,0.94975492,1.158088257
4.780569609,1.170343159,1.256127474,0.919117664,1.158088257,1.096813746,0.962009822,1.194852964,1.133578453,1.170343159,1.237745121,1.011029431,1.274509828,1.139705904,0.8394608,1.060049039
4.801034778,1.23161767,1.243872572,1.188725512,1.115196099,1.041666686,1.090686295,1.225490219,1.133578453,1.299019632,1.139705904,1.102941197,1.213235317,1.213235317,0.931372566,1.072303942
4.821499947,1.072303942,1.427696105,1.011029431,1.109068648,0.912990213,1.115196099,1.182598061,1.170343159,1.017156882,1.17647061,1.164215708,1.250000023,0.931372566,1.145833355,1.145833355
4.841965117,1.23161767,1.243872572,1.060049039,1.060049039,1.096813746,1.00490198,1.17647061,1.17647061,1.17647061,1.207107866,1.053921588,1.262254926,1.078431393,1.029411784,1.250000023
4.862430286,1.023284333,1.133578453,1.109068648,1.164215708,0.986519626,1.072303942,1.078431393,1.243872572,1.207107866,1.200980415,0.980392175,1.151960806,1.115196099,0.986519626,1.078431393
4.882895455,1.109068648,1.225490219,1.207107866,1.084558844,1.047794137,1.078431393,1.243872572,0.980392175,1.151960806,1.066176491,1.072303942,1.145833355,0.980392175,0.906862762,1.102941197
4.903360624,1.00490198,1.090686295,1.041666686,1.28676473,1.047794137,1.102941197,1.133578453,1.047794137,1.243872572,1.017156882,1.047794137,1.072303942,1.194852964,0.986519626,1.145833355
4.923825793,1.194852964,1.145833355,0.980392175,1.041666686,1.053921588,1.041666686,1.017156882,1.133578453,1.017156882,1.078431393,1.12132355,0.968137273,1.188725512,0.931372566,1.164215708
4.944290962,1.047794137,1.127451001,0.900735311,1.084558844,1.096813746,0.955882371,1.00490198,1.200980415,1.194852964,1.207107866,0.998774528,1.011029431,1.158088257,0.882352958,1.213235317
4.964756131,1.145833355,1.280637279,0.992647077,1.188725512,0.919117664,1.139705904,1.109068648,0.968137273,1.200980415,1.188725512,0.992647077,1.133578453,1.023284333,0.919117664,1.182598061
4.9852213,1.041666686,1.133578453,1.115196099,0.992647077,1.072303942,0.943627469,1.102941197,1.109068648,0.931372566,1.017156882,0.882352958,1.084558844,0.968137273,0.937500018,1.066176491
5.005686469,1.170343159,1.102941197,1.066176491,1.096813746,0.943627469,1.066176491,1.225490219,1.133578453,1.23161767,0.974264724,0.925245115,1.133578453,1.047794137,0.998774528,1.102941197
5.026151638,1.139705904,1.188725512,0.974264724,1.274509828,1.078431393,1.109068648,0.986519626,1.109068648,0.94975492,1.200980415,1.133578453,1.109068648,0.912990213,0.900735311,1.12132355
5.046616808,1.151960806,1.133578453,1.017156882,1.17647061,1.041666686,1.084558844,1.109068648,1.035539235,1.194852964,1.127451001,0.968137273,0.943627469,0.992647077,0.906862762,1.023284333
5.067081977,1.170343159,1.170343159,0.94975492,1.060049039,0.974264724,1.090686295,1.109068648,1.060049039,1.090686295,0.980392175,1.047794137,1.115196099,0.986519626,0.94975492,0.912990213
5.087547146,1.158088257,1.182598061,0.821078447,1.096813746,0.937500018,0.906862762,1.145833355,1.12132355,1.219362768,1.023284333,0.925245115,0.925245115,1.084558844,0.821078447,1.023284333
5.108012315,1.115196099,1.109068648,1.109068648,0.931372566,0.851715702,0.925245115,1.00490198,1.011029431,0.962009822,1.139705904,0.955882371,1.072303942,1.035539235,0.925245115,1.023284333
5.128477484,1.084558844,1.053921588,1.072303942,1.047794137,0.888480409,0.94975492,1.12132355,1.017156882,1.109068648,1.090686295,1.029411784,1.053921588,0.94975492,0.919117664,0.888480409
5.148942653,1.017156882,1.12132355,0.845588251,0.974264724,0.974264724,1.225490219,1.060049039,1.00490198,1.158088257,1.200980415,0.814950996,1.023284333,1.011029431,0.962009822,0.925245115
5.169407822,0.992647077,1.12132355,0.986519626,1.109068648,0.955882371,1.115196099,0.980392175,1.011029431,1.00490198,1.041666686,0.986519626,0.94975492,0.906862762,0.882352958,0.968137273
5.189872991,1.066176491,1.200980415,0.980392175,1.096813746,1.00490198,0.931372566,0.992647077,0.968137273,1.207107866,1.060049039,0.912990213,0.955882371,1.127451001,0.900735311,1.109068648
5.21033816,0.962009822,1.035539235,1.053921588,1.066176491,0.998774528,0.912990213,1.041666686,1.096813746,1.029411784,1.084558844,0.857843153,0.931372566,0.962009822,0.962009822,1.023284333
5.230803329,1.17647061,1.12132355,0.833333349,1.060049039,0.955882371,0.968137273,1.072303942,1.029411784,0.980392175,1.041666686,0.919117664,1.029411784,1.060049039,0.882352958,1.047794137
5.251268499,1.127451001,1.102941197,1.011029431,0.863970604,0.888480409,1.017156882,0.968137273,1.017156882,0.931372566,1.102941197,0.962009822,1.200980415,1.047794137,0.833333349,0.919117664
5.271733668,0.980392175,1.102941197,1.011029431,0.962009822,0.78431374,0.89460786,1.00490198,0.937500018,0.980392175,1.029411784,1.041666686,1.011029431,1.041666686,0.876225507,0.8394608
5.292198837,1.090686295,1.102941197,0.962009822,1.041666686,0.827205898,0.943627469,1.023284333,0.943627469,0.968137273,1.035539235,0.882352958,0.962009822,0.900735311,0.882352958,1.084558844
5.312664006,1.096813746,1.194852964,0.863970604,0.863970604,0.906862762,0.998774528,0.980392175,0.962009822,0.980392175,1.029411784,0.851715702,0.937500018,1.041666686,0.906862762,0.912990213
5.333129175,0.943627469,0.906862762,0.870098055,1.053921588,0.796568642,1.011029431,0.906862762,1.090686295,0.962009822,0.919117664,1.041666686,1.029411784,0.986519626,0.986519626,1.023284333
5.353594344,1.011029431,1.12132355,0.955882371,1.133578453,1.053921588,0.943627469,1.029411784,1.053921588,0.992647077,0.998774528,0.937500018,1.035539235,1.011029431,0.900735311,0.94975492
5.374059513,1.060049039,1.158088257,0.814950996,0.943627469,0.980392175,0.943627469,0.968137273,0.943627469,1.041666686,1.00490198,0.790441191,0.912990213,0.974264724,0.851715702,0.925245115
5.394524682,1.041666686,1.164215708,0.882352958,0.876225507,0.998774528,0.955882371,1.151960806,0.925245115,1.145833355,0.900735311,0.943627469,0.89460786,0.870098055,0.845588251,1.011029431
5.414989851,0.962009822,1.017156882,0.943627469,1.011029431,1.00490198,0.876225507,1.072303942,1.023284333,0.888480409,0.931372566,1.00490198,1.047794137,1.047794137,0.833333349,0.992647077
5.435455021,0.906862762,1.066176491,0.863970604,0.912990213,0.980392175,0.8394608,1.041666686,1.053921588,0.931372566,0.955882371,1.023284333,1.047794137,1.023284333,0.790441191,1.023284333
5.45592019,0.919117664,1.084558844,0.78431374,0.980392175,0.857843153,1.017156882,0.943627469,0.937500018,0.955882371,0.992647077,1.017156882,0.94975492,0.772058838,0.814950996,0.992647077
5.476385359,0.955882371,1.00490198,0.870098055,0.925245115,0.937500018,0.827205898,0.796568642,0.962009822,0.980392175,1.047794137,0.925245115,0.931372566,0.925245115,0.698529425,0.974264724
5.496850528,1.017156882,1.090686295,0.827205898,0.912990213,0.833333349,0.888480409,1.00490198,1.017156882,0.968137273,1.072303942,0.876225507,0.931372566,0.943627469,0.876225507,0.89460786
5.517315697,1.096813746,0.968137273,0.802696093,0.962009822,0.833333349,0.94975492,1.035539235,0.925245115,0.937500018,1.035539235,1.011029431,0.962009822,0.89460786,0.796568642,0.863970604
5.537780866,0.870098055,1.029411784,0.974264724,0.89460786,1.041666686,0.943627469,0.937500018,0.912990213,0.931372566,1.00490198,0.876225507,1.060049039,0.925245115,0.796568642,0.814950996
5.558246035,0.986519626,1.00490198,0.833333349,0.968137273,0.753676485,0.888480409,0.876225507,0.912990213,1.017156882,0.741421582,0.992647077,0.882352958,0.802696093,0.790441191,0.992647077
5.578711204,1.072303942,0.937500018,0.937500018,0.925245115,0.931372566,1.011029431,1.011029431,0.814950996,1.017156882,1.017156882,0.833333349,0.8394608,0.925245115,0.814950996,0.8394608
5.599176373,0.912990213,1.060049039,0.876225507,0.906862762,0.94975492,0.943627469,0.814950996,0.827205898,0.814950996,0.906862762,0.962009822,0.89460786,0.876225507,0.955882371,0.980392175
5.619641542,0.906862762,0.931372566,0.888480409,0.94975492,0.882352958,0.827205898,0.900735311,0.980392175,0.962009822,1.102941197,0.8394608,1.047794137,1.00490198,0.802696093,0.998774528
5.640106712,0.980392175,1.011029431,0.900735311,0.919117664,0.802696093,0.974264724,0.8394608,0.974264724,0.955882371,1.109068648,0.906862762,0.986519626,0.851715702,0.67401962,1.023284333
5.660571881,0.857843153,0.980392175,0.925245115,0.968137273,0.78431374,0.986519626,1.00490198,0.931372566,0.943627469,0.906862762,0.808823545,0.925245115,0.888480409,0.735294131,0.772058838
5.68103705,0.778186289,0.992647077,0.955882371,0.925245115,1.053921588,0.814950996,0.851715702,0.759803936,0.968137273,0.863970604,0.876225507,0.919117664,0.974264724,0.759803936,0.998774528
5.701502219,0.962009822,0.925245115,0.814950996,0.89460786,0.851715702,0.772058838,1.011029431,1.072303942,1.133578453,1.066176491,0.968137273,0.89460786,1.053921588,0.821078447,0.900735311
5.721967388,0.919117664,1.115196099,0.863970604,0.8394608,0.716911778,0.968137273,0.888480409,0.827205898,0.931372566,0.876225507,0.827205898,0.968137273,0.851715702,0.863970604,1.029411784
5.742432557,1.090686295,0.962009822,0.833333349,0.900735311,0.900735311,0.747549034,0.845588251,0.888480409,0.89460786,0.906862762,0.900735311,0.863970604,0.888480409,0.67401962,0.851715702
5.762897726,1.047794137,0.931372566,0.821078447,0.8394608,0.912990213,0.790441191,1.041666686,0.937500018,0.802696093,0.968137273,0.78431374,0.94975492,0.833333349,0.919117664,1.011029431
5.783362895,0.833333349,1.151960806,0.747549034,0.919117664,0.814950996,0.735294131,0.857843153,0.906862762,0.992647077,0.882352958,0.851715702,0.955882371,0.759803936,0.821078447,0.857843153
5.803828064,0.943627469,1.011029431,0.845588251,0.925245115,0.778186289,0.870098055,0.851715702,0.912990213,0.906862762,0.857843153,0.851715702,0.821078447,0.992647077,0.876225507,1.023284333
5.824293233,0.89460786,0.906862762,0.900735311,0.857843153,0.710784327,0.765931387,0.912990213,0.857843153,0.94975492,0.943627469,0.814950996,0.980392175,0.986519626,0.925245115,0.827205898
5.844758403,0.900735311,0.943627469,0.802696093,0.870098055,0.827205898,0.8394608,0.814950996,0.821078447,0.735294131,0.931372566,0.857843153,0.833333349,0.851715702,0.802696093,0.937500018
5.865223572,0.857843153,0.925245115,0.888480409,0.974264724,0.78431374,0.747549034,1.066176491,0.94975492,0.89460786,0.937500018,0.89460786,0.808823545,0.882352958,0.692401974,0.882352958
